0.000, 0.000, 0.010
0.020, -0.015, 0.005
0.040, 0.010, 0.010
0.050, -0.025, 0.015
0.030, -0.020, 0.020
0.080, -0.030, 0.015
0.070, 0.010, 0.005
0.060, -0.040, 0.010
0.090, -0.025, 0.020
0.100, -0.015, 0.030
0.120, 0.000, 0.035
0.150, -0.010, 0.040
0.180, -0.020, 0.050
0.160, -0.030, 0.045
0.140, -0.025, 0.055
0.170, -0.010, 0.060
0.190, 0.005, 0.070
0.210, -0.005, 0.075
0.230, 0.020, 0.080
0.250, 0.025, 0.090
0.270, -0.015, 0.100
0.300, -0.030, 0.120
0.320, 0.005, 0.130
0.340, -0.005, 0.140
0.360, 0.010, 0.150
0.380, -0.020, 0.160
0.400, 0.015, 0.170
0.420, 0.020, 0.180
0.440, -0.010, 0.190
0.460, 0.005, 0.200
0.480, -0.025, 0.210
0.500, -0.010, 0.220
0.520, 0.000, 0.230
0.540, 0.015, 0.240
0.560, 0.020, 0.250
0.580, -0.005, 0.260
0.600, 0.010, 0.270
0.620, 0.020, 0.280
0.640, 0.015, 0.290
0.660, 0.025, 0.300
0.680, -0.015, 0.310
0.700, -0.020, 0.320
0.720, 0.005, 0.330
0.740, 0.010, 0.340
0.760, -0.025, 0.350
0.780, -0.010, 0.360
0.800, 0.000, 0.370
0.820, 0.020, 0.380
0.840, -0.005, 0.390
0.860, 0.015, 0.400
0.880, 0.010, 0.410
0.900, -0.015, 0.420
0.920, 0.005, 0.430
0.940, -0.020, 0.440
0.960, 0.020, 0.450
0.980, 0.010, 0.460
1.000, -0.010, 0.470
1.020, 0.000, 0.480
1.040, -0.025, 0.490
1.060, -0.020, 0.500
1.080, 0.005, 0.510
1.100, -0.005, 0.520
1.120, 0.010, 0.530
1.140, 0.015, 0.540
1.160, -0.010, 0.550
