0.001, -0.002, 9.812
0.005, -0.003, 9.810
0.002, -0.004, 9.811
0.006, -0.003, 9.813
0.004, -0.002, 9.814
0.008, -0.001, 9.812
0.007, -0.003, 9.813
0.003, -0.004, 9.811
0.005, -0.002, 9.812
0.004, -0.003, 9.810
0.002, -0.004, 9.811
0.006, -0.003, 9.814
0.009, -0.001, 9.813
0.004, -0.003, 9.812
0.003, -0.004, 9.811
0.007, -0.002, 9.814
0.005, -0.003, 9.810
0.002, -0.004, 9.812
0.004, -0.002, 9.813
0.003, -0.003, 9.811
0.006, -0.003, 9.812
0.008, -0.001, 9.811
0.007, -0.002, 9.813
0.004, -0.004, 9.810
0.003, -0.003, 9.812
0.006, -0.002, 9.811
0.002, -0.004, 9.812
0.004, -0.003, 9.813
0.003, -0.004, 9.810
0.005, -0.001, 9.812
0.007, -0.003, 9.811
0.004, -0.002, 9.814
0.006, -0.001, 9.813
0.009, -0.003, 9.812
0.004, -0.002, 9.810
0.003, -0.004, 9.811
0.005, -0.003, 9.813
0.006, -0.002, 9.814
0.007, -0.001, 9.810
0.003, -0.003, 9.811
0.005, -0.004, 9.812
0.002, -0.003, 9.810
0.004, -0.001, 9.813
0.003, -0.002, 9.811
0.005, -0.003, 9.810
0.002, -0.003, 9.812
0.004, -0.004, 9.813
0.006, -0.002, 9.811
0.009, -0.001, 9.810
0.003, -0.003, 9.812
0.005, -0.004, 9.813
0.002, -0.003, 9.810
0.004, -0.002, 9.812
0.003, -0.003, 9.811
0.005, -0.001, 9.810
0.006, -0.003, 9.813
0.007, -0.002, 9.811
0.004, -0.004, 9.812
0.003, -0.003, 9.810
0.006, -0.002, 9.813
0.007, -0.003, 9.811
0.004, -0.002, 9.812
0.003, -0.003, 9.810
0.005, -0.004, 9.813
0.006, -0.001, 9.812
